Tag Name,Tag Frequency
leisure-park,359
amenity-school,326
amenity-fast_food,286
amenity-restaurant,275
shop-supermarket,245
amenity-place_of_worship,229
amenity-cafe,222
shop-hairdresser,187
leisure-garden,145
amenity-pub,141
leisure-pitch,134
shop-convenience,122
amenity-bank,110
tourism-artwork,100
amenity-university,93
amenity-pharmacy,92
amenity-bar,91
leisure-sports_centre,88
shop-car_repair,79
natural-wood,71
leisure-playground,67
shop-confectionery,66
amenity-hospital,62
leisure-swimming_pool,52
historic-memorial,47
shop-bakery,47
amenity-kindergarten,40
shop-beauty,39
amenity-college,38
shop-furniture,37
amenity-doctors,37
office-university,29
amenity-nightclub,24
amenity-community_centre,20
shop-hardware,17
leisure-fitness_centre,17
amenity-cinema,17
historic-monument,16
amenity-marketplace,16
shop-department_store,16
leisure-stadium,15
amenity-clinic,15
amenity-dentist,15
amenity-theatre,14
amenity-park,13
amenity-courthouse,13
tourism-attraction,12
tourism-museum,11
amenity-townhall,11
amenity-police,10
amenity-ice_cream,7
natural-grassland,7
leisure-track,6
amenity-casino,5
amenity-embassy,4
amenity-arts_centre,4
leisure-nature_reserve,4
historic-ruins,4
historic-archaeological_site,3
shop-tattoo,3
amenity-veterinary,3
amenity-food_court,2
leisure-adult_gaming_centre,2
craft-brewery,2
tourism-gallery,2
amenity-brothel,2
amenity-studio,2
office-bank,1
leisure-marina,1
historic-castle,1
leisure-escape_game,1
leisure-water_park,1
craft-locksmith,1
shop-locksmith,1
